FISCAL_YR,Channel,total_net_sales,total_custs,FISCAL_QTR,recency_net_sales_total,recency_cust_total,Recency,chan_rec_sales_pct,chan_rec_cust_pct,chan_rec_seg_sales,chan_rec__seg_custs,Customer_Type,Segment,chan_rec_sales,chan_rec__custs,sales_pct,cust_pct,d_p_cust
2018,D,57218098.9717621,401995,1,3675640.50912142,36585,0,6.42391232000804e-002,9.10085946342616e-002,3297406.7390635,31814,NTB_1,1,3877799.70949398,34250,0.8503293,0.9288759,103.646405326696
2018,D,57218098.9717621,401995,1,3675640.50912142,36585,0,6.42391232000804e-002,9.10085946342616e-002,580392.970430478,2436,NTB__Omni,_Omni,3877799.70949398,34250,0.1496707,7.112408e-002,238.256556005944
2018,D,57240221.0866218,421974,2,3771410.82859433,38934,0,6.58874259567768e-002,9.22663481636309e-002,3263844.28684497,32513,NTB_1,1,3973324.64992348,35731,0.8214391,0.9099382,100.385823727277
2018,D,57240221.0866218,421974,2,3771410.82859433,38934,0,6.58874259567768e-002,9.22663481636309e-002,709480.363078512,3218,NTB__Omni,_Omni,3973324.64992348,35731,0.1785609,9.006185e-002,220.472455897611
2018,D,56029496.3523296,377032,3,3438100.21746445,32715,0,6.13623259406917e-002,8.67698232510768e-002,3065793.93520927,28806,NTB_1,1,3605168.52777451,30927,0.8503885,0.9314191,106.429005596378
2018,D,56029496.3523296,377032,3,3438100.21746445,32715,0,6.13623259406917e-002,8.67698232510768e-002,539374.592565231,2121,NTB__Omni,_Omni,3605168.52777451,30927,0.1496115,6.858085e-002,254.302023840279
2018,D,59339274.0592157,447606,4,4091044.82990527,46974,0,6.89432908434766e-002,0.104944973927963,3724540.57501483,41895,NTB_1,1,4263810.61075742,44847,0.873524,0.9341762,88.9017919803038
2018,D,59339274.0592157,447606,4,4091044.82990527,46974,0,6.89432908434766e-002,0.104944973927963,539270.035742588,2952,NTB__Omni,_Omni,4263810.61075742,44847,0.1264761,6.58238e-002,182.679551403316
2018,R,115160816.520504,537651,1,8767954.99246665,55640,0,7.61366171010566e-002,0.103487206384811,7769442.84197176,50869,NTB_1,1,8565795.79209409,53204,0.9070311,0.9561123,152.734334112559
2018,R,115160816.520504,537651,1,8767954.99246665,55640,0,7.61366171010566e-002,0.103487206384811,796352.950122334,2335,NTB__Omni,_Omni,8565795.79209409,53204,9.296894e-002,4.388768e-002,341.050513971021
2018,R,115125098.256748,596261,2,9482659.08450964,65817,0,8.23683039415243e-002,0.110382869246857,8186159.27004321,59396,NTB_1,1,9280745.26318048,62599,0.8820584,0.948833,137.823410163028
2018,R,115125098.256748,596261,2,9482659.08450964,65817,0,8.23683039415243e-002,0.110382869246857,1094585.99313727,3203,NTB__Omni,_Omni,9280745.26318048,62599,0.1179416,5.116695e-002,341.73774372066
2018,R,112007643.436303,529358,3,7500878.0309306,48982,0,6.69675550775801e-002,9.25309525878517e-002,6659120.27835595,45073,NTB_1,1,7333809.72062054,46861,0.9080029,0.9618446,147.740782250038
2018,R,112007643.436303,529358,3,7500878.0309306,48982,0,6.69675550775801e-002,9.25309525878517e-002,674689.442264587,1788,NTB__Omni,_Omni,7333809.72062054,46861,9.199713e-002,3.81554e-002,377.34308851487
